ID	Result
group_6209	-0.348923398050062
group_24413	-0.278449891416767
group_3509	-0.383250759956781
group_5825	-0.157558343116954
group_7096	-0.0740699768892631
group_17286	-0.338392779275037
group_3476	-0.384955612125534
group_31326	-0.336223569975702
group_6349	-0.156261779110969
group_5315	-0.235001993914863
group_31215	-0.299386514915675
group_203	0.0703379430516756
group_3147	-0.101965744327579
group_37817	-0.100934000958117
group_36791	-0.377887636865675
group_96565	-0.134180602090388
group_21879	-0.355998164656768
group_22175	-0.288901887663113
group_9888	-0.112032939220477
group_9444	-0.130474590723808
group_4367	-0.284077037054897
group_12778	-0.317416682282242
group_5909	-0.239870283329231
group_953	-0.0115181904838542
group_8181	0.260323406910451
group_2812	-0.110527025799266
group_6466	-0.0345771239210776
group_36766	-0.219272025945926
group_8111	-0.300648099046936
group_20417	-0.0151065699451338
group_5992	-0.103969249161006
group_3585	-0.280808807855571
group_1070	-0.0990735661253442
group_6122	0.194336655849767
group_4264	-0.0169579381347412
group_4607	-0.0783332207269599
group_3718	-0.249906722647093
group_9633	-0.269330649869152
group_1820	-0.290061186438023
group_4327	-0.239628062836606
group_10430	-0.292349557477134
group_2321	-0.399183677545416
group_2021	-0.0215492677453129
group_24631	-0.024364059186608
group_5993	0.0206028136390597
group_7701	-0.0310291597258387
group_3720	-0.34359902388734
group_37113	-0.358251123960822
group_9591	-0.333945513300796
group_24672	-0.38643434210662
group_10753	-0.380429665246543
group_4355	-0.360293500326319
group_11895	-0.268893756364576
group_3386	-0.352681612939851
group_8767	-0.0784058455642234
group_4710	-0.224076250298331
group_379	-0.384504788156152
group_5989	0.0734217635013744
group_37115	-0.32319034171423
group_9657	-0.204173553421629
group_3472	-0.205455233001171
group_6204	0.189542092612191
group_8281	-0.191486033539704
group_4515	-0.344264141933456
group_5785	-0.305885825503951
group_4465	-0.181596315583517
group_8791	-0.178212136262797
group_6137	-0.110005963582715
group_18669	-0.35956529880815
group_2260	0.0719304877899688
group_24673	-0.388389947544718
group_8284	-0.298166790349639
group_24695	-0.231059468083611
group_6146	-0.0661359706745037
group_3726	-0.391547123636286
group_7847	-0.0808970326551794
group_11107	-0.020037107420445
group_11901	-0.126075869437327
group_4372	-0.383920282058765
group_2285	-0.211048485918084
group_3727	-0.276376789662225
group_9732	-0.211706585031368
group_4962	-0.0379677364632143
group_7934	-0.169540212704276
group_3500	-0.395151314749925
group_8799	-0.336972775024888
group_8314	-0.279105416816915
group_1927	-0.399143334528461
group_4787	-0.297928691029219
group_9701	-0.179177833010014
group_10555	-0.254996849017342
group_27573	-0.397855233154071
group_6385	-0.111801456404026
group_4661	-0.371332859191374
group_3312	-0.113471502575448
group_3873	-0.354644544324135
group_14178	-0.248056858487893
group_6347	-0.00929496525180097
group_20726	-0.144130716964171
