ID	Result
group_10004	-0.248804115482836
group_10012	0.167296213503253
group_10014	-0.208522026337492
group_10023	0.0504130420639097
group_10028	-0.230929654962608
group_10029	-0.287506814577163
group_10030	0.0331688706916596
group_10033	0.0411211991851017
group_10034	0.0253334645655567
group_10036	-0.174854924834649
group_10039	0.256453890709475
group_10042	0.233622423445743
group_10043	-0.351254840851329
group_10064	-0.308577027843609
group_10065	-0.0645144669891748
group_10066	-0.371739177659477
group_10067	-0.0265213254441126
group_10069	0.153428538906306
group_10070	-0.353107176358668
group_10071	-0.248337027683032
group_10072	-0.0469541026296867
group_10073	-0.052624101530748
group_10074	-0.0980474809397545
group_10077	-0.144669723110446
group_10078	-0.186356286143623
group_10079	-0.326491764568955
group_1008	0.160934753265318
group_10080	-0.379505676584534
group_10083	-0.345201487322456
group_10084	0.0673078511083573
group_10085	-0.337521684293402
group_10086	-0.174884211266767
group_10087	-0.226818256382223
group_10088	-0.163728431281291
group_10089	-0.288268782668335
group_10090	-0.352765249359848
group_10091	-0.222099252270526
group_10093	-0.331597161141139
group_10094	-0.342460956080098
group_10095	-0.250186476566389
group_10096	-0.330705311878956
group_10099	-0.0618959385745033
group_10100	-0.178465847512335
group_10101	-0.0207837814796568
group_10102	0.0450652994648953
group_10104	0.0831360939673
group_10105	-0.0893266742093946
group_10107	-0.240434333573937
group_10111	-0.13472034193219
group_10122	-0.134961937110405
group_10123	0.49064481678976
group_10131	-0.25987841933703
group_10142	-0.206727662548954
group_10144	-0.360759682725899
group_10146	-0.346951833663573
group_10163	-0.253851291776247
group_10164	-0.225426665464121
group_10169	-0.389278738809627
group_10170	-0.11275287400673
group_10172	-0.00349666579024931
group_10173	-0.0998678224714041
group_10181	-0.234728311082502
group_10182	-0.375587319052596
group_10184	-0.16224301663078
group_10186	-0.370342902072018
group_10192	0.689815596826049
group_10196	-0.266989837315513
group_102	0.600121054141841
group_10200	-0.389861925254971
group_10205	-0.140077582086967
group_10208	-0.353878858792306
group_10209	0.876050904561046
group_10212	-0.365072795735738
group_10213	-0.195404924802778
group_10215	-0.0056771166195159
group_10218	-0.078516541816955
group_10221	-0.00743336548783889
group_10222	-0.242030936075599
group_10223	-0.0685141624880329
group_10225	-0.147565637521796
group_10227	-0.321684778838722
group_10228	-0.185079876248145
group_10229	-0.09259955788674
group_10231	-0.193594773829967
group_10237	-0.206130266382376
group_10239	-0.185140644117372
group_10241	-0.36667884324501
group_10242	-0.184383682899954
group_10243	0.167707216854063
group_10245	-0.162674071372307
group_10260	0.189132108877514
group_10261	0.44986233722949
group_10264	0.584855862230337
group_10268	0.658658078727404
group_10271	-0.232965766580038
group_10272	0.43112241706645
group_10273	0.887966855731197
group_10275	0.698577656830598
group_10286	0.0645524953820761
group_10291	0.202625275528013
group_10295	0.633954758458711
group_10309	-0.0801393801288376
group_10310	-0.0466933624046034
group_10314	-0.175740350733301
group_10315	0.0488808915628463
group_10318	-0.219814945275844
group_10320	0.0147736508864805
group_10328	0.394879578685205
group_10346	0.0872683192861107
group_10350	-0.379853291553393
group_10351	-0.0782619046477162
group_10352	-0.162561716078353
group_10353	-0.279745833261392
group_10354	1.006955964749
group_10357	-0.343226154178902
group_10360	-0.269935967184055
group_10375	0.14933388085693
group_10396	-0.238347978885161
group_10398	0.0736270930869669
